id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,sales,net_profit,dividend_payout,peer_group_name,is_benchmark,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,asset_turnover_percentile,free_cash_flow_cr_percentile,revenue_cagr_5yr_percentile,pat_cagr_5yr_percentile,debt_to_equity_percentile,interest_coverage_percentile,benchmark_score,score_difference
51,ADANIGREEN,Mar 2021,5.83,72.0,8.27,11.0041,1.3477,0.1089,-7536.0,9137.0,1.0,0.1407,0.0,24209.0,1601.0,,,,,Energy,519085.0,17.73,4.85,2.14,3124.0,182.0,0.0,Power & Utilities,0,68.75,72.5,92.5,93.75,,,96.25,90.0,7.3,
52,ADANIGREEN,Mar 2022,9.53,68.0,18.71,20.2112,1.5357,0.0871,-15603.0,18730.0,3.0,0.1671,0.0,52832.0,3127.0,59.2,,,19.73,Energy,495446.05,37.61,5.59,3.37,5133.0,489.0,0.0,Power & Utilities,0,6.25,63.74999999999999,98.75,100.0,2.2222222222222223,,98.75,86.25,9.6,10.13
53,ADANIGREEN,Mar 2023,12.51,64.0,13.32,7.4237,1.9364,0.1162,3408.0,3857.0,6.0,0.4611,0.0,54223.0,7265.0,39.35,,,13.12,Energy,449015.01,9.89,6.92,4.31,7776.0,973.0,0.0,Power & Utilities,0,26.25,52.5,86.25,37.5,4.444444444444445,,91.25,78.75,11.42,1.6999999999999993
54,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858.0,7713.0,34.98,,,11.66,Energy,510512.78,45.26,6.24,0.89,9220.0,1260.0,0.0,Power & Utilities,0,35.0,46.25,93.75,98.75,6.666666666666667,,86.25,82.5,9.8,1.8599999999999994
67,ADANIPORTS,Mar 2013,45.82,67.0,25.63,1.8173,5.0295,0.17,-3757.0,5136.0,8.0,1.5945,12.0,11620.0,1379.0,-22.2,-20.15,-20.38,-20.91,Industrials,,,,,3577.0,1639.0,12.0,Ports & Logistics,1,8.333333333333332,16.666666666666664,91.66666666666666,83.33333333333334,83.33333333333334,100.0,100.0,41.66666666666667,-20.91,0.0
68,ADANIPORTS,Mar 2014,36.05,60.0,19.86,1.4808,3.6888,0.1957,-1378.0,2510.0,8.0,2.1171,12.0,12979.0,1132.0,-22.36,-18.87,-19.04,-20.09,Industrials,,,,,4830.0,1741.0,12.0,Ports & Logistics,1,41.66666666666667,58.333333333333336,25.0,66.66666666666666,91.66666666666666,91.66666666666666,75.0,100.0,-20.09,0.0
69,ADANIPORTS,Mar 2015,37.78,63.0,21.59,1.6513,3.9047,0.1918,572.0,2485.0,11.0,2.6002,10.0,17776.0,3057.0,-21.66,-15.49,-15.14,-17.43,Industrials,,,,,6152.0,2324.0,10.0,Ports & Logistics,1,25.0,41.66666666666667,54.166666666666664,58.333333333333336,75.0,66.66666666666666,83.33333333333334,91.66666666666666,-17.43,0.0
70,ADANIPORTS,Mar 2016,40.17,64.0,21.15,1.6544,4.7215,0.1852,-1772.0,4153.0,14.0,3.2621,8.0,22342.0,2381.0,-23.26,-18.83,-18.1,-20.06,Industrials,,,,,7109.0,2856.0,8.0,Ports & Logistics,1,33.33333333333333,33.33333333333333,70.83333333333334,75.0,100.0,83.33333333333334,91.66666666666666,66.66666666666666,-20.06,0.0
71,ADANIPORTS,Mar 2017,46.23999999999999,64.0,22.26,1.2675,5.7841,0.1946,1434.0,2629.0,19.0,4.2333,7.0,22214.0,4063.0,-21.57,-16.72,-15.84,-18.04,Industrials,,,,,8439.0,3902.0,7.0,Ports & Logistics,1,16.666666666666664,8.333333333333332,33.33333333333333,50.0,66.66666666666666,75.0,66.66666666666666,16.666666666666664,-18.04,0.0
72,ADANIPORTS,Mar 2018,32.59,63.0,17.65,1.0702,5.0671,0.2397,1762.0,3846.0,18.0,5.049,11.0,22370.0,5608.0,25.92,17.62,17.61,20.38,Industrials,,,,,11323.0,3690.0,11.0,Ports & Logistics,1,50.0,66.66666666666666,8.333333333333332,33.33333333333333,8.333333333333332,16.666666666666664,16.666666666666664,33.33333333333333,20.38,0.0
73,ADANIPORTS,Mar 2019,37.03,60.0,16.6,1.137,5.6931,0.194,1661.0,4368.0,19.0,5.887,1.0,27712.0,6029.0,17.73,18.37,18.89,18.33,Industrials,697221.18,50.76,1.64,2.77,10925.0,4045.0,1.0,Ports & Logistics,1,58.333333333333336,50.0,41.66666666666667,41.66666666666667,25.0,8.333333333333332,25.0,25.0,18.33,0.0
74,ADANIPORTS,Mar 2020,31.88,50.0,14.87,1.188,4.0364,0.1918,6653.0,749.0,19.0,6.2702,17.0,30242.0,7402.0,14.05,10.25,11.55,11.95,Industrials,702836.27,53.52,5.91,0.16,11873.0,3785.0,17.0,Ports & Logistics,1,83.33333333333334,75.0,54.166666666666664,16.666666666666664,41.66666666666667,41.66666666666667,58.333333333333336,83.33333333333334,11.95,0.0
75,ADANIPORTS,Mar 2021,40.23,69.0,16.59,1.1779,4.7251,0.1683,-6508.0,14064.0,25.0,7.4978,20.0,35855.0,7556.0,12.04,12.07,12.3,12.14,Industrials,611152.14,77.47,0.9,1.0,12550.0,5049.0,20.0,Ports & Logistics,1,66.66666666666666,25.0,100.0,100.0,58.333333333333336,33.33333333333333,50.0,58.333333333333336,12.14,0.0
76,ADANIPORTS,Mar 2022,28.93,56.0,11.84,1.1462,4.4654,0.1741,4927.0,5493.0,23.0,9.9102,22.0,47935.0,10420.0,15.2,4.89,3.9,8.0,Industrials,733808.16,15.26,3.96,0.2,17119.0,4953.0,22.0,Ports & Logistics,1,100.0,91.66666666666666,83.33333333333334,25.0,33.33333333333333,58.333333333333336,33.33333333333333,75.0,8.0,0.0
77,ADANIPORTS,Mar 2023,25.85,52.0,11.88,1.1772,4.7711,0.1852,-4816.0,16716.0,25.0,10.5067,20.0,53434.0,11900.0,12.99,7.88,6.79,9.22,Industrials,634603.85,29.48,7.65,2.23,20852.0,5391.0,20.0,Ports & Logistics,1,91.66666666666666,100.0,70.83333333333334,91.66666666666666,50.0,50.0,41.66666666666667,50.0,9.22,0.0
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470.0,15018.0,19.58,14.91,14.87,16.45,Industrials,675598.01,48.9,2.31,1.16,26711.0,8104.0,16.0,Ports & Logistics,1,75.0,83.33333333333334,16.666666666666664,8.333333333333332,16.666666666666664,25.0,8.333333333333332,8.333333333333332,16.45,0.0
79,ADANIPOWER,Mar 2013,-34.29,14.0,-53.45999999999999,9.7356,0.69,0.1224,-1063.0,4064.0,-10.0,0.1794,0.0,41795.0,3001.0,,,,,Energy,,,,,6692.0,-2295.0,0.0,Power & Utilities,0,97.5,100.0,82.5,76.25,,,95.0,98.75,,
